sample,cold_reduction_percent,bin_lower_deg,bin_upper_deg,bin_width_deg,bin_center_deg,pair_count,probability,probability_density_per_degree,cumulative_probability
7d,0,15.1,15.2,0.0999999999999996,15.15,43,6.03943611329982e-05,0.000603943611329984,0.903502451589707
7d,0,15.2,15.3,0.0999999999999996,15.25,51,7.16305213437886e-05,0.000716305213437888,0.90357408211105
7d,0,15.3,15.4,0.0999999999999996,15.35,46,6.46079212120446e-05,0.000646079212120448,0.903638690032262
7d,0,15.4,15.5,0.0999999999999996,15.45,53,7.44395613964862e-05,0.000744395613964864,0.903713129593659
7d,0,15.5,15.6,0.100000000000001,15.55,33,4.63491608695103e-05,0.000463491608695096,0.903759478754528
7d,0,15.6,15.7,0.0999999999999996,15.65,38,5.33717610012542e-05,0.000533717610012544,0.90381285051553
7d,0,15.7,15.8,0.0999999999999996,15.75,36,5.05627209485566e-05,0.000505627209485568,0.903863413236478
7d,0,15.8,15.9,0.0999999999999996,15.85,40,5.61808010539518e-05,0.00056180801053952,0.903919594037532
7d,0,15.9,16,0.0999999999999996,15.95,58,8.14621615282301e-05,0.000814621615282304,0.904001056199061
7d,0,16,16.1,0.100000000000001,16.05,48,6.74169612647422e-05,0.000674169612647412,0.904068473160325
7d,0,16.1,16.2,0.0999999999999979,16.15,38,5.33717610012542e-05,0.000533717610012554,0.904121844921327
7d,0,16.2,16.3,0.100000000000001,16.25,38,5.33717610012542e-05,0.000533717610012535,0.904175216682328
7d,0,16.3,16.4,0.100000000000001,16.35,62,8.70802416336253e-05,0.000870802416336241,0.904262296923962
7d,0,16.4,16.5,0.0999999999999979,16.45,44,6.1798881159347e-05,0.000617988811593483,0.904324095805121
7d,0,16.5,16.6,0.100000000000001,16.55,47,6.60124412383934e-05,0.000660124412383925,0.904390108246359
7d,0,16.6,16.7,0.0999999999999979,16.65,33,4.63491608695103e-05,0.000463491608695112,0.904436457407229
7d,0,16.7,16.8,0.100000000000001,16.75,43,6.03943611329982e-05,0.000603943611329974,0.904496851768362
7d,0,16.8,16.9,0.100000000000001,16.85,49,6.8821481291091e-05,0.0006882148129109,0.904565673249653
7d,0,16.9,17,0.0999999999999979,16.95,45,6.32034011856958e-05,0.000632034011856972,0.904628876650839
7d,0,17,17.1,0.100000000000001,17.05,43,6.03943611329982e-05,0.000603943611329974,0.904689271011972
7d,0,17.1,17.2,0.0999999999999979,17.15,62,8.70802416336253e-05,0.000870802416336272,0.904776351253605
7d,0,17.2,17.3,0.100000000000001,17.25,63,8.84847616599741e-05,0.000884847616599729,0.904864836015265
7d,0,17.3,17.4,0.100000000000001,17.35,31,4.35401208168127e-05,0.000435401208168121,0.904908376136082
7d,0,17.4,17.5,0.0999999999999979,17.45,43,6.03943611329982e-05,0.000603943611329995,0.904968770497215
7d,0,17.5,17.6,0.100000000000001,17.55,44,6.1798881159347e-05,0.000617988811593461,0.905030569378374
7d,0,17.6,17.7,0.0999999999999979,17.65,46,6.46079212120446e-05,0.00064607921212046,0.905095177299586
7d,0,17.7,17.8,0.100000000000001,17.75,56,7.86531214755326e-05,0.000786531214755314,0.905173830421062
7d,0,17.8,17.9,0.100000000000001,17.85,57,8.00576415018814e-05,0.000800576415018802,0.905253888062564
7d,0,17.9,18,0.0999999999999979,17.95,57,8.00576415018814e-05,0.000800576415018831,0.905333945704066
7d,0,18,18.1,0.100000000000001,18.05,83,0.00011657516218695,0.00116575162186948,0.905450520866253
7d,0,18.1,18.2,0.0999999999999979,18.15,67,9.41028417653693e-05,0.000941028417653713,0.905544623708018
7d,0,18.2,18.3,0.100000000000001,18.25,63,8.84847616599741e-05,0.000884847616599729,0.905633108469678
7d,0,18.3,18.4,0.100000000000001,18.35,67,9.41028417653693e-05,0.00094102841765368,0.905727211311443
7d,0,18.4,18.5,0.0999999999999979,18.45,54,7.5844081422835e-05,0.000758440814228366,0.905803055392866
7d,0,18.5,18.6,0.100000000000001,18.55,85,0.000119384202239648,0.00119384202239646,0.905922439595106
7d,0,18.6,18.7,0.0999999999999979,18.65,90,0.000126406802371392,0.00126406802371394,0.906048846397477
7d,0,18.7,18.8,0.100000000000001,18.75,88,0.000123597762318694,0.00123597762318692,0.906172444159796
7d,0,18.8,18.9,0.100000000000001,18.85,72,0.000101125441897113,0.00101125441897112,0.906273569601693
7d,0,18.9,19,0.0999999999999979,18.95,66,9.26983217390205e-05,0.000926983217390225,0.906366267923432
7d,0,19,19.1,0.100000000000001,19.05,66,9.26983217390205e-05,0.000926983217390192,0.906458966245171
7d,0,19.1,19.2,0.100000000000001,19.15,72,0.000101125441897113,0.00101125441897112,0.906560091687068
7d,0,19.2,19.3,0.0999999999999979,19.25,73,0.000102529961923462,0.00102529961923464,0.906662621648992
7d,0,19.3,19.4,0.100000000000001,19.35,67,9.41028417653693e-05,0.00094102841765368,0.906756724490757
7d,0,19.4,19.5,0.0999999999999979,19.45,65,9.12938017126717e-05,0.000912938017126737,0.90684801829247
7d,0,19.5,19.6,0.100000000000001,19.55,54,7.5844081422835e-05,0.000758440814228339,0.906923862373893
7d,0,19.6,19.7,0.100000000000001,19.65,56,7.86531214755326e-05,0.000786531214755314,0.907002515495368
7d,0,19.7,19.8,0.0999999999999979,19.75,59,8.28666815545789e-05,0.000828666815545807,0.907085382176923
7d,0,19.8,19.9,0.100000000000001,19.85,77,0.000108148042028857,0.00108148042028856,0.907193530218951
7d,0,19.9,20,0.0999999999999979,19.95,85,0.000119384202239648,0.0011938420223965,0.907312914421191
7d,0,20,20.1,0.100000000000001,20.05,74,0.000103934481949811,0.00103934481949809,0.907416848903141
7d,0,20.1,20.2,0.100000000000001,20.15,70,9.83164018444157e-05,0.000983164018444143,0.907515165304985
7d,0,20.2,20.3,0.0999999999999979,20.25,63,8.84847616599741e-05,0.00088484761659976,0.907603650066645
7d,0,20.3,20.4,0.100000000000001,20.35,71,9.97209218707645e-05,0.000997209218707631,0.907703370988516
7d,0,20.4,20.5,0.0999999999999979,20.45,80,0.000112361602107904,0.00112361602107906,0.907815732590624
7d,0,20.5,20.6,0.100000000000001,20.55,59,8.28666815545789e-05,0.000828666815545778,0.907898599272179
7d,0,20.6,20.7,0.100000000000001,20.65,70,9.83164018444157e-05,0.000983164018444143,0.907996915674023
7d,0,20.7,20.8,0.0999999999999979,20.75,78,0.000109552562055206,0.00109552562055208,0.908106468236078
7d,0,20.8,20.9,0.100000000000001,20.85,60,8.42712015809277e-05,0.000842712015809265,0.908190739437659
7d,0,20.9,21,0.0999999999999979,20.95,72,0.000101125441897113,0.00101125441897115,0.908291864879556
7d,0,21,21.1,0.100000000000001,21.05,67,9.41028417653693e-05,0.00094102841765368,0.908385967721322
7d,0,21.1,21.2,0.100000000000001,21.15,100,0.00014045200263488,0.00140452002634878,0.908526419723957
7d,0,21.2,21.3,0.0999999999999979,21.25,87,0.000122193242292345,0.00122193242292348,0.908648612966249
7d,0,21.3,21.4,0.100000000000001,21.35,59,8.28666815545789e-05,0.000828666815545778,0.908731479647803
7d,0,21.4,21.5,0.0999999999999979,21.45,66,9.26983217390205e-05,0.000926983217390225,0.908824177969542
7d,0,21.5,21.6,0.100000000000001,21.55,70,9.83164018444157e-05,0.000983164018444143,0.908922494371387
7d,0,21.6,21.7,0.100000000000001,21.65,90,0.000126406802371392,0.0012640680237139,0.909048901173758
7d,0,21.7,21.8,0.0999999999999979,21.75,105,0.000147474602766624,0.00147474602766627,0.909196375776525
7d,0,21.8,21.9,0.100000000000001,21.85,98,0.000137642962582182,0.0013764296258218,0.909334018739107
7d,0,21.9,22,0.0999999999999979,21.95,96,0.000134833922529484,0.00134833922529487,0.909468852661637
7d,0,22,22.1,0.100000000000001,22.05,69,9.69118818180669e-05,0.000969118818180655,0.909565764543455
7d,0,22.1,22.2,0.100000000000001,22.15,71,9.97209218707645e-05,0.000997209218707631,0.909665485465325
7d,0,22.2,22.3,0.0999999999999979,22.25,69,9.69118818180669e-05,0.00096911881818069,0.909762397347143
7d,0,22.3,22.4,0.100000000000001,22.35,97,0.000136238442555833,0.00136238442555831,0.909898635789699
7d,0,22.4,22.5,0.0999999999999979,22.45,88,0.000123597762318694,0.00123597762318697,0.910022233552018
7d,0,22.5,22.6,0.100000000000001,22.55,82,0.000115170642160601,0.001151706421606,0.910137404194179
7d,0,22.6,22.7,0.100000000000001,22.65,79,0.000110957082081555,0.00110957082081553,0.91024836127626
7d,0,22.7,22.8,0.0999999999999979,22.75,84,0.000117979682213299,0.00117979682213301,0.910366340958473
7d,0,22.8,22.9,0.100000000000001,22.85,77,0.000108148042028857,0.00108148042028856,0.910474489000502
7d,0,22.9,23,0.0999999999999979,22.95,96,0.000134833922529484,0.00134833922529487,0.910609322923032
7d,0,23,23.1,0.100000000000001,23.05,88,0.000123597762318694,0.00123597762318692,0.91073292068535
